date,sleep_hours,sleep_quality,mood,stress,energy,exercise,reading,meditation,journaling,daily_productivity
2025-06-06,7.7,6,3,8,6,1,1,1,0,7
2025-06-07,6.8,6,3,8,6,1,1,1,0,7
2025-06-08,8.0,7,10,1,9,1,1,0,1,10
2025-06-09,9.3,7,9,1,10,1,0,1,1,10
2025-06-10,6.6,4,5,5,8,1,1,1,1,10
2025-06-11,6.6,5,3,8,5,0,0,0,0,4
2025-06-12,9.4,6,3,8,6,0,0,0,0,4
2025-06-13,8.2,9,8,2,9,1,1,1,1,10
2025-06-14,6.3,6,3,8,4,0,0,0,0,4
2025-06-15,7.8,7,8,1,7,0,0,1,1,10
2025-06-16,6.3,6,5,4,7,1,0,1,1,9
2025-06-17,6.3,4,7,4,7,0,1,0,1,9
2025-06-18,7.4,7,10,1,7,0,0,1,1,10
2025-06-19,4.1,3,4,7,2,0,0,0,0,4
2025-06-20,4.4,3,1,10,1,0,0,0,0,2
2025-06-21,6.2,4,5,5,5,0,0,0,1,6
2025-06-22,5.5,6,4,7,3,0,0,0,0,4
2025-06-23,7.5,7,8,1,10,0,1,1,1,10
2025-06-24,5.6,5,3,6,5,0,0,0,1,5
2025-06-25,4.9,3,1,8,4,0,0,0,1,4
2025-06-26,9.2,9,10,1,10,1,1,0,1,10
2025-06-27,6.7,6,4,7,6,0,0,0,0,5
2025-06-28,7.1,9,6,3,6,1,1,0,0,8
2025-06-29,4.9,1,1,10,1,0,0,0,0,2
2025-06-30,6.2,4,5,6,7,1,1,0,0,8
2025-07-01,7.2,9,7,3,9,1,1,1,1,10
2025-07-02,5.3,5,3,8,2,1,0,0,0,4
2025-07-03,7.6,7,7,4,9,1,1,1,0,10
2025-07-04,6.1,4,6,5,4,1,0,0,0,6
2025-07-05,6.6,4,4,6,7,0,0,0,1,6
2025-07-06,6.1,4,6,4,7,1,0,0,0,8
2025-07-07,9.8,9,7,2,9,1,1,1,1,10
2025-07-08,7.0,8,6,3,9,1,0,1,1,10
2025-07-09,5.4,6,3,6,2,0,0,0,1,4
2025-07-10,8.2,7,10,1,8,1,1,1,1,10
2025-07-11,5.2,5,4,7,5,1,0,0,0,6
2025-07-12,7.3,8,6,3,8,1,1,1,1,10
2025-07-13,4.1,3,3,6,4,0,0,0,1,5
2025-07-14,5.0,6,5,6,7,1,0,1,0,8
2025-07-15,7.3,7,8,1,6,0,1,1,1,10
2025-07-16,8.1,8,7,4,8,1,1,0,1,10
2025-07-17,7.3,9,8,1,6,1,1,0,1,10
2025-07-18,6.8,5,7,4,8,1,1,0,0,9
2025-07-19,6.5,4,7,2,7,1,1,1,1,10
2025-07-20,4.8,1,3,6,3,0,0,0,0,4
2025-07-21,5.9,6,4,5,4,0,0,0,1,6
2025-07-22,6.3,6,5,5,5,1,0,1,0,7
2025-07-23,8.6,9,7,2,9,1,0,0,1,10
2025-07-24,7.5,7,9,1,9,0,0,1,1,10
2025-07-25,4.4,2,3,6,2,0,0,0,0,3
2025-07-26,7.5,6,3,8,7,0,0,0,0,5
2025-07-27,6.4,4,6,5,6,1,0,1,0,8
2025-07-28,6.0,6,4,6,6,1,0,1,1,8
2025-07-29,7.9,6,5,6,7,0,1,0,0,7
2025-07-30,8.5,7,9,2,10,1,0,1,1,10
2025-07-31,8.4,6,5,5,6,0,0,0,0,6
2025-08-01,5.7,5,4,7,6,0,0,0,0,5
2025-08-02,6.5,5,7,4,9,1,0,0,0,9
2025-08-03,7.5,7,7,2,6,1,0,0,0,8
2025-08-04,8.5,9,9,2,10,1,1,1,1,10
2025-08-05,6.3,6,3,6,6,1,0,0,0,6
2025-08-06,6.7,6,4,5,7,1,1,0,0,8
2025-08-07,5.3,5,6,5,8,1,0,1,1,10
2025-08-08,5.2,5,6,4,5,0,1,0,0,7
2025-08-09,8.2,7,8,2,7,0,1,1,0,10
2025-08-10,9.0,6,4,5,6,1,1,1,0,8
2025-08-11,6.9,5,7,3,8,1,0,1,0,9
2025-08-12,8.5,6,7,3,9,1,1,0,0,10
2025-08-13,7.5,9,10,1,10,1,1,1,1,10
2025-08-14,6.0,5,3,7,5,0,0,0,0,4
2025-08-15,7.5,7,10,1,7,0,1,0,1,10
2025-08-16,9.3,9,7,3,8,1,1,1,1,10
2025-08-17,6.9,5,5,5,6,0,0,0,1,7
2025-08-18,9.3,8,7,4,7,0,0,0,0,7
2025-08-19,3.1,1,1,10,1,0,0,0,0,2
2025-08-20,8.2,9,8,2,8,1,0,0,0,9
2025-08-21,7.1,7,8,1,10,1,1,1,0,10
2025-08-22,6.6,5,4,5,8,0,0,1,0,7
2025-08-23,7.1,6,7,2,7,1,0,1,0,9
2025-08-24,4.0,1,4,6,2,0,0,0,0,4
2025-08-25,6.7,4,6,3,9,0,1,0,1,9
2025-08-26,7.5,9,9,1,10,1,1,1,1,10
2025-08-27,9.2,9,7,3,10,1,1,1,0,10
2025-08-28,6.2,4,6,3,6,0,1,0,0,7
2025-08-29,5.8,5,7,2,9,0,1,1,1,10
2025-08-30,6.2,4,6,5,7,1,1,1,1,10
2025-08-31,8.4,7,8,3,10,1,1,1,0,10
2025-09-01,7.5,8,8,3,9,1,1,1,1,10
2025-09-02,6.2,4,7,4,6,1,0,1,0,9
2025-09-03,7.8,8,6,3,7,1,1,1,1,10
